jollibee_name,jollibee_address,jollibee_lat,jollibee_lng,mcdo_name,mcdo_address,mcdo_lat,mcdo_lng,distance_m
Jollibee - Venice Grand Canal Mall,"Upper McKinley Hl, Taguig, Metro Manila, Philippines",14.533973699999997,121.0506476,McDonald's,"Upper McKinley Hl, Taguig, 1627 Metro Manila, Philippines",14.534069699999998,121.0506465,10.7
Jollibee Commerce,"Commerce Spectrum Ave., Filinvest, Alabang Muntinlupa, Muntinlupa, Metro Manila, Philippines",14.4200474,121.03596130000001,McDonald's Commerce Ave,"Commerce Ave, Corner Spectrum St, Alabang, Muntinlupa, 1781 Metro Manila, Philippines",14.4201425,121.0358358,17.2
Jollibee Victory Central mall,"Unit # G 04 - 05 Ground Floor, Victory Central Mall, Caloocan, Metro Manila, Philippines",14.6556097,120.98319479999999,McDonald's Victory Mall,"1659 Rizal Avenue Monumento, Caloocan, 1008 Metro Manila, Philippines",14.655595999999997,120.983358,17.6
Jollibee,"69 Makati Ave, Makati City, 1200 Metro Manila, Philippines",14.5624332,121.02811209999999,McDonald's,"100 Jupiter, Makati City, 1209 Metro Manila, Philippines",14.562321299999999,121.02793969999998,22.3
Jollibee Unioil Pinaglabanan,"CML-HSI Pinaglabanan Place Santolan Road, Halo-halo, Brgy St. Joseph, San Juan City, Metro Manila, Philippines",14.6041288,121.0322333,McDonald's P. Guevarra,"256 P. Guevarra St, San Juan City, 1500 Metro Manila, Philippines",14.604090000000001,121.0324462,23.3
Jollibee Metrolane Complex,"102 Metrolane Complex 20th Avenue corner, P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines",14.621154500000001,121.0634868,McDonald's,"322-B P. Tuazon Blvd, Project 4, Quezon City, 1109 Metro Manila, Philippines",14.621236399999999,121.0636973,24.4
