name,address,latitude,longitude,brand
Jollibee,"G/F Exportbank Plaza, Gil Puyat, cor Chino Roces Ave, Makati City, Metro Manila, Philippines",14.5593891,121.01155889999998,Jollibee
Jollibee,"Pamplona, Las Piñas, Metro Manila, Philippines",14.4515968,120.9773487,Jollibee
Jollibee,"1038 Edsa E. Congressional, Bago Bantay, Quezon City, Metro Manila, Philippines",14.657792899999997,121.021055,Jollibee
Jollibee Boni Avenue - Halcon,"Cor Boni Ave, Halcon, St, Mandaluyong City, Kalakhang Maynila, Philippines",14.575513800000001,121.0418521,Jollibee
Jollibee - Market Market,"City, Taguig, Metro Manila, Philippines",14.5491732,121.05607260000001,Jollibee
Jollibee,"Level 1 Red Hotel, 346 Don C Revilla St, corner Epifanio de los Santos Ave, Pasay City, Metro Manila, Philippines",14.537395699999998,121.0018992,Jollibee
Jollibee Quezon Blvd- Mayon,"Quezon Blvd, cor Mayon St, Quezon City, Metro Manila, Philippines",14.618178799999999,121.0018096,Jollibee
Jollibee Benin,"335 Benin St. corner EDSA, Grace Park East, Caloocan, 1400 Metro Manila, Philippines",14.656858999999999,120.985312,Jollibee
Jollibee,"N. DOMINGO, cor A. Luna, ST, San Juan City, Metro Manila, Philippines",14.606045600000002,121.02336960000001,Jollibee
Jollibee SM Center Muntinlupa,"GF Atrium Area, SM City Muntinlupa, Muntinlupa, 1781 Metro Manila, Philippines",14.377562099999997,121.0459427,Jollibee
Jollibee España Don Quijote,"JX6V+FG3, Don Quijote St, Sampaloc, Manila, 1008 Metro Manila, Philippines",14.611125800000002,120.9937889,Jollibee
Jollibee Ortigas Ave Extn- Valley Golf Rd,"Ortigas Ave. ext, cor Valley Golf Road, Cainta, 1900 Rizal, Philippines",14.5825096,121.12898939999998,Jollibee
Jollibee,"Diosdado Macapagal Blvd, Tambo, Parañaque, 1701 Metro Manila, Philippines",14.5231814,120.99095619999999,Jollibee
Jollibee Muñoz,"Munoz Market Plaza, EDSA cor, Fernando Poe Jr. Ave, Project 7, Quezon City, Metro Manila, Philippines",14.6573315,121.02002119999997,Jollibee
Jollibee - Nova Square Mall,"GF Nova Square, cor. Pablo dela Cruz St, 671 Quirino Hwy, Novaliches, Quezon City, 1123 Metro Manila, Philippines",14.701287299999999,121.03504849999997,Jollibee
Jollibee Edsa Zamora,"333 EDSA Zamora cor. Libertad St, Pasay City, Metro Manila, Philippines",14.5378876,121.0016179,Jollibee
Jollibee Banawe,"424 Banawe St, Bgy, cor Ma Clara, Santa Mesa Heights, Quezon City, Metro Manila, Philippines",14.6277029,121.0043152,Jollibee
Jollibee Pedro Gil Paco,"1246 Pedro Gil St, Paco, Manila, 1007 Metro Manila, Philippines",14.5785197,120.99481239999999,Jollibee
Jollibee - Paso de Blas,"621-B Paso de Blas Rd, Valenzuela, 1442 Metro Manila, Philippines",14.7093231,120.99376260000001,Jollibee
Jollibee,"Level 1 Ayala Circuit Mall AP Reyes Street, Makati City, Metro Manila, Philippines",14.5742403,121.0195741,Jollibee
Jollibee Scout Tobias,"Sct Tobias, cor Timog Ave, Diliman, Quezon City, Metro Manila, Philippines",14.6362118,121.03141099999999,Jollibee
Jollibee SM City Caloocan,"623 Bagumbong Rd, Barangay 171, Caloocan, 1421 Metro Manila, Philippines",14.7512591,121.0190744,Jollibee
Jollibee Rockwell Business Center Tower 3,"Rockwell Business Center, Meralco Ave, Ortigas Center, Pasig, Metro Manila, Philippines",14.5894167,121.0682275,Jollibee
Jollibee,"Green Meadows Ave, Ugong Norte, Quezon City, Metro Manila, Philippines",14.6016947,121.07887500000001,Jollibee
Jollibee WELLCOME PLAZA,"2420 G/ F Wellcome Plaza Bldg., Libertad St, Pasay City, Metro Manila, Philippines",14.5468271,120.99911660000001,Jollibee
Jollibee Abad Santos Ave.,"3039 Jose Abad Santos, Tondo, Manila, Metro Manila, Philippines",14.6321856,120.9803165,Jollibee
Jollibee,"509 G/F, Merchant Center Building, Padre Faura St, Ermita, Manila, 1000 Metro Manila, Philippines",14.577694300000001,120.9814629,Jollibee
Jollibee,"326 Shaw Blvd, corner Acacia Ln, Mandaluyong City, Metro Manila, Philippines",14.5891586,121.03583619999999,Jollibee
Jollibee,"Manuela Complex EDSA, cor Shaw Blvd, Mandaluyong City, Metro Manila, Philippines",14.582278299999999,121.05399089999999,Jollibee
Jollibee WalterMart Sucat,"Level 1 Waltermart Sucat, Brgy. San Isidro, Dr Arcadio Santos Ave, Parañaque, 1700 Metro Manila, Philippines",14.471697599999999,121.00750670000001,Jollibee
Jollibee,"Tan Hock Bldg. Edsa, Cor P.Burgos, Guadalupe Nuevo, Makati City, Metro Manila, Philippines",14.5653579,121.04546040000001,Jollibee
Jollibee ITC Shaw Kalentong,"51 Shaw Blvd, Mandaluyong City, 1550 Metro Manila, Philippines",14.593616899999999,121.0276074,Jollibee
Jollibee BSB Cml Bldg Sangandaan,"BSB Commercial Building, General San Miguel St, Sangandaan, Caloocan, 1408 Metro Manila, Philippines",14.657782399999997,120.97180979999999,Jollibee
Jollibee Makati Central Square,"120 Amorsolo Street, Legazpi Village, Makati, 1200 Kalakhang Maynila, Philippines",14.552251499999999,121.01436509999998,Jollibee
Jollibee (SM Aura),"GF SM Aura Premier, 26th St, cor McKinley Pkwy, Taguig, Metro Manila, Philippines",14.545854299999997,121.05399910000001,Jollibee
Jollibee,"Women's Club, corner Naval St, Malabon, Metro Manila, Philippines",14.675850299999999,120.94175349999999,Jollibee
Jollibee SM North EDSA,"GF C 106-108, SM City North EDSA, Misamis St, Quezon City, Metro Manila, Philippines",14.656379500000002,121.029754,Jollibee
Jollibee Roces- Quezon Ave,"1050 D&E Building Roces Ave, cor Quezon Ave, Diliman, Quezon City, Metro Manila, Philippines",14.633209100000002,121.02036319999999,Jollibee
Jollibee Alabang West,"C256+8W7, Almanza Dos, Las Piñas, Metro Manila, Philippines",14.4082782,121.01229900000001,Jollibee
Jollibee Liana's Parañaque,"Liana's Shopping Center, Dr Arcadio Santos Ave, Parañaque, 1709 Metro Manila, Philippines",14.4751699,121.0008424,Jollibee
Jollibee,"Amang Rodriguez, cor Marikina-Infanta Hwy, Pasig, 1800 Metro Manila, Philippines",14.6183122,121.0927231,Jollibee
Jollibee,"#139 B Anonas, cor Kamias Rd, Diliman, Quezon City, Metro Manila, Philippines",14.6346523,121.05859399999999,Jollibee
Jollibee,"850 M. Dela Fuente St, Sampaloc, Manila, 1008 Metro Manila, Philippines",14.610800200000002,120.99507659999999,Jollibee
Jollibee Mindanao Ave,"cornerMindanao Extension, Commonwealth Ave, Quezon City, Metro Manila, Philippines",14.7217646,121.0522609,Jollibee
Jollibee,"Fishermall, Quezon Avenue, corner Fernando Poe Jr. Ave, Quezon City, Metro Manila, Philippines",14.633272999999999,121.01853039999999,Jollibee
Jollibee - SM City Valenzuela,"Ground floor, SM Supercenter Valenzuela, along, MacArthur Hwy, Valenzuela, Metro Manila, Philippines",14.6861784,120.9762707,Jollibee
Jollibee Valenzuela Town Center,"VTC, MacArthur Hwy, Valenzuela, Metro Manila, Philippines",14.6923095,120.9697683,Jollibee
Jollibee Fisher Mall Malabon,"BLK 47 LOT 2, 10 Dagat-Dagatan Ave, Malabon, Metro Manila, Philippines",14.6568453,120.9610873,Jollibee
Jollibee Araneta Square Mall,"Along Monumento Cicle, Rizal Ave. Ext, Samson Rd, Caloocan, Metro Manila, Philippines",14.6567385,120.98357800000001,Jollibee
