brand,name,address,latitude,longitude,city
Jollibee,Jollibee PGH Taft,"799 Pedro Gil St, Ermita, Manila, 1007 Metro Manila, Philippines",14.576267699999997,120.98848029999999,Manila
Jollibee,Jollibee SM San Lazaro,"UPPER GROUND SM CITY SAN LAZARO F. HUERTAS ROAD, EXTENSION, CORNER Lacson Ave, Barangay 350, Santa Cruz, City, 1008 Metro Manila, Philippines",14.617432899999999,120.9862019,Manila
Jollibee,Jollibee - V. Luna Kalayaan,"V. Luna, cor Kalayaan Ave, Diliman, Quezon City, Metro Manila, Philippines",14.635934799999998,121.0548159,Quezon City
Jollibee,Jollibee,"509 G/F, Merchant Center Building, Padre Faura St, Ermita, Manila, 1000 Metro Manila, Philippines",14.577694300000001,120.9814629,Manila
Jollibee,Jollibee Pinagtipunan Circle Potrero,"3 Pinagtipunan Cir, Potrero, Malabon, 1475 Metro Manila, Philippines",14.6637299,120.983994,Malabon
Jollibee,Jollibee Manila City Plaza,"3F Manila City Plaza, Plaza Miranda, Quiapo, Manila, Quiapo, Manila, 1001 Metro Manila, Philippines",14.5987489,120.98362599999999,Manila
Jollibee,Jollibee,"1819 Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",14.6030367,120.98562349999999,Manila
Jollibee,Jollibee Philippine Heart Center,"Philippine Heart Center Bldg, East Avenue, cor Matalino St, Diliman, Quezon City, Metro Manila, Philippines",14.644468999999999,121.04801639999998,Quezon City
Jollibee,Jollibee Taft Quirino,"San Andres Corner, HXCR+2QQ, Taft Ave, Malate, Manila, 1017 Metro Manila, Philippines",14.5700928,120.9919851,Manila
Jollibee,Jollibee Talipapa - Novaliches,"Savemore Drug, 482 Quirino Hwy, Quezon City, Metro Manila, Philippines",14.686300199999998,121.02445390000001,Quezon City
Jollibee,Jollibee - Visayas Tandang Sora,"248 Visayas Ave, Quezon City, 1107 Metro Manila, Philippines",14.675778300000001,121.0438895,Quezon City
Jollibee,Jollibee West Zamora Pandacan,"1890 W Zamora St, Pandacan, Manila, 1011 Metro Manila, Philippines",14.585494599999999,121.0010396,Manila
Jollibee,Jollibee Araneta Square Mall,"Along Monumento Cicle, Rizal Ave. Ext, Samson Rd, Caloocan, Metro Manila, Philippines",14.6567385,120.98357800000001,Caloocan
Jollibee,Jollibee Taft Ave Malate,"2284 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",14.567169699999999,120.99327960000001,Manila
Jollibee,Jollibee,"unit E University Tower, # 728 Pedro Gil cor. Dr. Vasquez st. Malate Manila Manila City, Malate, Manila, 1004 Metro Manila, Philippines",14.5751767,120.9865262,Manila
Jollibee,Jollibee Wellhouse Bldg J Luna- R Regente,"WELLHOUSE bldg J. LUNA STREET CORNER R. REGENTE STREET, Manila Manila City, Binondo, Manila, 1006 Metro Manila, Philippines",14.601046199999999,120.9732566,Manila
Jollibee,Jollibee Sto Cristo,"CM Recto / Sto. Cristo Streets, 481 Recto Ave, Tondo, Manila, Metro Manila, Philippines",14.603756499999998,120.96819330000001,Manila
Jollibee,Jollibee G. Tuazon - E. Quintos,"301 G. Tuazon, sts., Balic-balic, cor E. Queintos, Sampaloc, Manila, 1015 Metro Manila, Philippines",14.6069761,121.0029332,Manila
Jollibee,Jollibee,"69 Makati Ave, Makati City, 1200 Metro Manila, Philippines",14.5624332,121.02811209999999,Makati
Jollibee,Jollibee - Farmers Market,"Spc 15 Farmers Market Annex, Farmers Market Araneta Center Cubao QC, Cubao, Quezon City, Metro Manila, Philippines",14.619460899999998,121.0528474,Quezon City
Jollibee,Jollibee,"Time Square Food court, Chinese General Hospital, Blumentritt St, Santa Cruz, Manila City, Metro Manila, Philippines",14.6257262,120.9874298,Manila
Jollibee,Jollibee Juan Luna Pampanga,"2130 Juan Luna St, Tondo, Manila, 1013 Metro Manila, Philippines",14.628737,120.974046,Manila
Jollibee,Jollibee,"135 West Ave, Project 7, Quezon City, Metro Manila, Philippines",14.654540599999999,121.0295043,Quezon City
Jollibee,Jollibee West Avenue - Quezon City NCR,"106 West Avenue, cor W Lawin, St, Quezon City, Metro Manila, Philippines",14.648657799999999,121.02873859999998,Quezon City
Jollibee,Jollibee Centris Mall,"GF-22 and SF-8 Eton Centris Edsa, corner Quezon Ave, Diliman, Quezon City, Metro Manila, Philippines",14.6430077,121.0389458,Quezon City
Jollibee,Jollibee Axiaa,"131 West Ave, Project 7, Quezon City, Metro Manila, Philippines",14.654686199999999,121.02963919999999,Quezon City
Jollibee,Jollibee,"301 Katipunan Ave, Loyola Heights, Quezon City, Metro Manila, Philippines",14.637350399999999,121.0741099,Quezon City
Jollibee,Jollibee,"1 Tandang Sora Ave, Road, Quezon City, Metro Manila, Philippines",14.6645615,121.0677035,Quezon City
Jollibee,Jollibee SM North EDSA,"GF C 106-108, SM City North EDSA, Misamis St, Quezon City, Metro Manila, Philippines",14.656379500000002,121.029754,Quezon City
Jollibee,Jollibee NBS,"NBS Commercial Complex, Quezon Avenue, cor Scout Borromeo St, Diliman, Quezon City, Metro Manila, Philippines",14.6396049,121.03067659999999,Quezon City
Jollibee,Jollibee - SM Congressional,"70 Congressional Ave, Project 8, Quezon City, Metro Manila, Philippines",14.6711833,121.03879210000001,Quezon City
Jollibee,Jollibee,"315 Epifanio de los Santos Ave, Project 7, Quezon City, 1105 Metro Manila, Philippines",14.6571292,121.0208454,Quezon City
Jollibee,Jollibee,"Shell Gas Station Commonwealth Ave. cor. Feria st. Commonwealth, Quezon City, Metro Manila, Philippines",14.671422100000001,121.07921789999999,Quezon City
Jollibee,Jollibee,"M333+GHQ, R-7, Diliman, Quezon City, 1101 Metro Manila, Philippines",14.653835100000002,121.0539843,Quezon City
Jollibee,Jollibee Don Antonio,"19-c Holy Spirit Drive Corner Don Faustino Drive, Quezon City, 1127 Metro Manila, Philippines",14.683529,121.077709,Quezon City
Jollibee,Jollibee Mindanao Ave,"cornerMindanao Extension, Commonwealth Ave, Quezon City, Metro Manila, Philippines",14.7217646,121.0522609,Quezon City
Jollibee,Jollibee - Phoenix Congressional,"Congressional Avenue Extension, cor Visayas Ave, Quezon City, Metro Manila, Philippines",14.672004599999998,121.04478300000001,Quezon City
Jollibee,Jollibee Puregold Commonwealth,"Puregold Commonwealth, Commonwealth Ave, Matandang Balara, Quezon City, 1119 Metro Manila, Philippines",14.666419000000001,121.07098380000001,Quezon City
Jollibee,Jollibee - P. Tuazon- 13th Ave Cubao,"232 P. Tuazon, cor 13th Ave, Cubao, Quezon City, Metro Manila, Philippines",14.6192896,121.05792409999998,Quezon City
Jollibee,Jollibee - Anonas,"#961 J & F Divino Bldg, Aurora Blvd, Project 3, Quezon City, Metro Manila, Philippines",14.628076400000001,121.0636294,Quezon City
Jollibee,Jollibee,"Fishermall, Quezon Avenue, corner Fernando Poe Jr. Ave, Quezon City, Metro Manila, Philippines",14.633272999999999,121.01853039999999,Quezon City
Jollibee,Jollibee,"#139 B Anonas, cor Kamias Rd, Diliman, Quezon City, Metro Manila, Philippines",14.6346523,121.05859399999999,Quezon City
Jollibee,Jollibee EDSA ARAYAT,"#40 Raylor Bldg Edsa cor, P. A. Bernardo, Cubao, Quezon City, Metro Manila, Philippines",14.619376099999998,121.05060490000001,Quezon City
Jollibee,Jollibee Quirino Highway Sta Monica,"983 Quirino Hwy, Town Proper, Quezon City, 1123 Metro Manila, Philippines",14.725952699999999,121.04140579999999,Quezon City
Jollibee,Jollibee Commonwealth,"Commonwealth Avenue, corner Hon. B. Soliven, Quezon City, Metro Manila, Philippines",14.7017491,121.0868068,Quezon City
Jollibee,Jollibee Don Ernesto Commonwealth,"Don Enrique Heights, Commonwealth Ave, Quezon City, 1127 Metro Manila, Philippines",14.6831968,121.0848391,Quezon City
Jollibee,Jollibee - Dahlia Fairview,"Dahlia Avenue Cor. Regalado Avenue West Fairview, Brgy. Fairview Park, Quezon City, Metro Manila, Philippines",14.7001438,121.06753080000001,Quezon City
Jollibee,Jollibee Atherton,"P357+C6Q, North Fairview, Quezon City, Metro Manila, Philippines",14.708581599999997,121.06311120000001,Quezon City
Jollibee,Jollibee East Avenue,"#18 PMHA Bldg corner V. Luna Rd, Bgy Pinyahan, Diliman, Quezon City, Metro Manila, Philippines",14.637746900000002,121.0463738,Quezon City
Jollibee,Jollibee Crissant CML,"Cresdec Building Lot 9 Block 9, Commonwealth Ave, Batasan Hills, Quezon City, Metro Manila, Philippines",14.6831031,121.08594719999999,Quezon City
Jollibee,Jollibee,"Along corner, Kingspoint Bagbag Ave, Quirino Hwy, Novaliches, Quezon City, Metro Manila, Philippines",14.6929969,121.02960410000001,Quezon City
Jollibee,Jollibee Novaliches San Bartolome,"#772 Quirino Hwy, Novaliches, Quezon City, Metro Manila, Philippines",14.7076889,121.0391229,Quezon City
Jollibee,Jollibee Metrolane Complex,"102 Metrolane Complex 20th Avenue corner, P. Tuazon Blvd, Cubao, Quezon City, Metro Manila, Philippines",14.621154500000001,121.0634868,Quezon City
Jollibee,Jollibee,"298 Col. Bonny Serrano Ave, Quezon City, Metro Manila, Philippines",14.608951999999999,121.04807189999998,Quezon City
Jollibee,Jollibee,"Regalado Hwy, Novaliches, Quezon City, Metro Manila, Philippines",14.7351891,121.06147120000001,Quezon City
Jollibee,Jollibee,"G. de Jesus, corner Epifanio de los Santos Ave, Bagong Barrio West, Caloocan, Metro Manila, Philippines",14.6576793,120.9978914,Caloocan
Jollibee,Jollibee,"MCU EDSA N, Loreto, Morning Breeze Subdivision, Caloocan, Metro Manila, Philippines",14.657486400000002,120.98803909999998,Caloocan
Jollibee,Jollibee,"Mabini, cor 10th Ave, Poblacion, Caloocan, Metro Manila, Philippines",14.6506852,120.97286369999999,Caloocan
Jollibee,Jollibee Deparo Road Caloocan Drive-Thru,"zone 15, Deparo Rd, Barangay 168, Caloocan, 1428 Metro Manila, Philippines",14.741128699999997,121.02306420000001,Caloocan
Jollibee,Jollibee Llano Road North Caloocan,"P2J9+5CP, Beside Chichanokboy Lugawan & Mapula's Barber Shop LLANO ROAD CROSSING Near Teofilo Samson Avenue & Near Alfamart Barangay 167, Caloocan, North, Caloocan, Metro Manila, Philippines",14.730491099999998,121.01856939999999,Caloocan
Jollibee,Jollibee Caybiga,"P296+R2P, Barangay 166, Caloocan, Metro Manila, Philippines",14.7195757,121.0100762,Caloocan
Jollibee,Jollibee BSB Cml Bldg Sangandaan,"BSB Commercial Building, General San Miguel St, Sangandaan, Caloocan, 1408 Metro Manila, Philippines",14.657782399999997,120.97180979999999,Caloocan
Jollibee,Jollibee - Vicas Camarin,"P2XP+5HW, 173, Caloocan, Metro Manila, Philippines",14.7478797,121.03653290000001,Caloocan
Jollibee,Jollibee - Zabarte,"175, 1400 13-15, 175, Barangay, Lot 3, Zone 15, Block 13-15, DISTRICT 1 Camarin Rd, Caloocan, 1400 Metro Manila, Philippines",14.757821600000002,121.0438258,Caloocan
Jollibee,Jollibee Gracepark,"Super 8 Caloocan G/F, 558, near the package counter, Super 8 Grocery, 564 Rizal Ave Ext, Grace Park East, Caloocan, Metro Manila, Philippines",14.6541723,120.98418160000001,Caloocan
Jollibee,Jollibee Bagumbong Drive Thru,"Q228+XVQ, Bagumbong Rd, Barangay 171, Caloocan, Metro Manila, Philippines",14.7524088,121.0169906,Caloocan
